generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1775038292-jFJRFvAENrMu0DKnhM8E,2026-04-01 10:11:32.968,0,,,0,0.87199,174068,66,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,5862,5460,Bustly,gateway-Internal-key
gen-1775038282-J5FYIsOfHhustNY3os4F,2026-04-01 10:11:22.033,0,,,0,0.870055,173251,152,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,8268,5739,Bustly,gateway-Internal-key
gen-1775037773-pUXTyqPh6LsH60uakDP2,2026-04-01 10:02:53.614,0,,,0,0.885385,172212,973,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,24663,4545,Bustly,gateway-Internal-key
gen-1775037234-3rYkWh69noENg8oNc9XX,2026-04-01 09:53:54.747,0,,,0,0.734665,144698,447,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,11004,5069,Bustly,gateway-Internal-key
gen-1775037213-GYwYITPhWpkBJtrGqliy,2026-04-01 09:53:33.374,0,,,0,0.63883,119146,1724,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,33415,4317,Bustly,gateway-Internal-key
gen-1775037204-GrpOAW9s4dxMHRjH29Gd,2026-04-01 09:53:24.255,0,,,0,0.535875,106215,192,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4888,3647,Bustly,gateway-Internal-key
gen-1775037196-Sxm8rUVUB4b9FIOPbsdm,2026-04-01 09:53:16.570,0,,,0,0.53292,105644,188,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4775,3523,Bustly,gateway-Internal-key
gen-1775037188-9AgW8RRurUYKa2yjQzhL,2026-04-01 09:53:08.691,0,,,0,0.72526,144592,92,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,44070,39241,Bustly,gateway-Internal-key
gen-1775037079-C3duKG7sMmHzRTDsXp6g,2026-04-01 09:51:19.157,0.558075,,,0,0,109285,466,0,0,anthropic/claude-4.6-opus-20260205,Azure,standard,false,true,,end_turn,stop,12168,4733,Bustly,gateway-Internal-key
gen-1775037079-ICmr3RudLNZgXogopbnG,2026-04-01 09:51:19.151,0,,,0,0.468085,92712,181,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,126169,40440,Bustly,gateway-Internal-key
gen-1775037079-DYu9PfTOn2stDzwhH2AE,2026-04-01 09:51:19.109,0,,,0,0.8765,136860,7688,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,107349,4567,Bustly,gateway-Internal-key
gen-1775037068-JEcaxThwua30radsHBG1,2026-04-01 09:51:08.432,0,,,0,0.53107,105279,187,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,121806,72643,Bustly,gateway-Internal-key
gen-1775037064-p3mHUrEEs8dBbOrPksFZ,2026-04-01 09:51:04.275,0,,,0,0.96421,166757,5217,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,90561,4971,Bustly,gateway-Internal-key
gen-1775036938-jIxHkrsCAOxldVuXuEXp,2026-04-01 09:48:58.478,0,,,0,0.52462,104384,108,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,128228,76135,Bustly,gateway-Internal-key
gen-1775036807-D7cl2zy6pueKkpo233sb,2026-04-01 09:46:47.022,0,,,0,0.56625,102135,2223,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,47438,3664,Bustly,gateway-Internal-key
gen-1775036798-pFFtgCtehqJAOGCXZsIy,2026-04-01 09:46:38.072,0,,,0,0.283925,55610,235,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,7549,3677,Bustly,gateway-Internal-key
gen-1775036789-Mud3VgXact1WiF9OA8XA,2026-04-01 09:46:29.389,0,,,0,0.27097,53204,198,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4553,3271,Bustly,gateway-Internal-key
gen-1775036782-sjKFGN71yUjfbvmzgGbX,2026-04-01 09:46:22.109,0,,,0,0.268215,52528,223,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4780,2856,Bustly,gateway-Internal-key
gen-1775036776-tCcCTUmIacTdL0WAMAwP,2026-04-01 09:46:16.226,0,,,0,0.2655,52160,188,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,4189,2915,Bustly,gateway-Internal-key
gen-1775036765-pnuusvRlEnOozedpBFbg,2026-04-01 09:46:05.216,0,,,0,0.8523,165190,1054,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,238961,43599,Bustly,gateway-Internal-key
gen-1775036704-t7el74afQTjifQBGq4np,2026-04-01 09:45:04.411,0,,,0,0.258825,51220,109,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,70372,49500,Bustly,gateway-Internal-key
gen-1775036679-uioTYVFucE2iIzcpQTm1,2026-04-01 09:44:39.275,0,,,0,0.92338,160281,4879,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,83639,5859,Bustly,gateway-Internal-key
gen-1775036672-Y9Xv2bCpDh3PhmHrwYok,2026-04-01 09:44:32.838,0,,,0,0.7979,159180,80,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,5094,4597,Bustly,gateway-Internal-key
gen-1775036638-Y7ycAyBstGYIFX4qPMl4,2026-04-01 09:43:57.948,0,,,0,0.797125,156775,530,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,end_turn,stop,13368,5088,Bustly,gateway-Internal-key
gen-1775036567-YtgTn8jcS6LazfQHHL2a,2026-04-01 09:42:47.274,0,,,0,0.785665,156668,93,0,0,anthropic/claude-4.6-opus-20260205,Amazon Bedrock,standard,false,true,,tool_use,tool_calls,67788,66044,Bustly,gateway-Internal-key
